,B2CL1_AUC,B2CL1_Enrich,B2CL1_cor,B2LA1_AUC,B2LA1_Enrich,B2LA1_cor,MCL1_AUC,MCL1_Enrich,MCL1_cor,mean_AUC,mean_cor,mean_Enrich,sd_AUC,sd_cor,sd_Enrich
FoldX_mean,0.683718262466,20.3222374221,0.225495643618,0.749198150798,19.9299167762,0.338265178718,0.822225600601,23.8788688488,0.37116356742,0.751714004622,0.311641463252,21.3770076824,0.0565733613382,0.0623773606106,1.77631844826
FoldX_min,0.801427247367,27.3597811218,0.389960795562,0.834207182449,27.332457293,0.463292874689,0.931325077039,32.7321309285,0.560823959893,0.855653168952,0.471359210048,29.1414564478,0.0551561981481,0.0699874015133,2.53901477847
Rosetta_mean,0.688178516343,20.4480951943,0.23794665222,0.721089837176,18.9615671751,0.315689784423,0.847200922914,33.9217864329,0.454125589791,0.752156425478,0.335920675478,24.4438162675,0.0685365164442,0.0894065619404,6.72935758357
Rosetta_min,0.704239965666,20.0638394893,0.250291157956,0.726635793479,19.9737187911,0.329572782651,0.919281353567,38.0761523046,0.539640423159,0.783385704237,0.373168121255,26.0379035283,0.0965267282706,0.122082388791,8.51240685255
dTERMen_mean,0.753852639525,29.8829609363,0.353179622645,0.731588308715,27.5076653526,0.316240303028,0.831551787895,35.1547539523,0.436297773444,0.772330912045,0.368572566372,30.8484600804,0.0428505869965,0.0502072776142,3.19568797612
dTERMen_min,0.774404971167,35.3397172823,0.384428249586,0.749036444152,29.1721419185,0.33160140066,0.890469213326,42.306835894,0.509251309632,0.804636876215,0.408426986626,35.6062316983,0.0615699229127,0.0744841239195,5.36552693329
